Rule: ('otc alterations permit', '2.0') ==> ('St',)	 , confidence: 0.752,lift: 1.081
Rule: ('8.0',) ==> ('', 'otc alterations permit', '8', 'St')	 , confidence: 0.754,lift: 1.205
Rule: ('', '8.0') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.754,lift: 1.205
Rule: ('1.0',) ==> ('2.0',)	 , confidence: 0.754,lift: 1.320
Rule: ('1.0',) ==> ('', '2.0')	 , confidence: 0.754,lift: 1.320
Rule: ('', '1.0') ==> ('2.0',)	 , confidence: 0.754,lift: 1.320
Rule: ('issued', '2.0') ==> ('St',)	 , confidence: 0.755,lift: 1.085
Rule: ('issued', '2.0') ==> ('', 'St')	 , confidence: 0.755,lift: 1.085
Rule: ('', 'issued', '2.0') ==> ('St',)	 , confidence: 0.755,lift: 1.085
Rule: ('Av',) ==> ('wood frame (5)',)	 , confidence: 0.756,lift: 1.298
Rule: ('Av',) ==> ('', 'wood frame (5)')	 , confidence: 0.756,lift: 1.298
Rule: ('Av',) ==> ('5.0', 'wood frame (5)')	 , confidence: 0.756,lift: 1.298
Rule: ('Av',) ==> ('', '5.0', 'wood frame (5)')	 , confidence: 0.756,lift: 1.000
Rule: ('', 'Av') ==> ('wood frame (5)',)	 , confidence: 0.756,lift: 1.298
Rule: ('', 'Av') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.756,lift: 1.298
Rule: ('Y', '2.0') ==> ('St',)	 , confidence: 0.756,lift: 1.087
Rule: ('Y', '2.0') ==> ('', 'St')	 , confidence: 0.756,lift: 1.087
Rule: ('', 'Y', '2.0') ==> ('St',)	 , confidence: 0.756,lift: 1.087
Rule: ('2.0', '1.0') ==> ('constr type 1', 'St')	 , confidence: 0.756,lift: 5.789
Rule: ('2.0', '1.0') ==> ('', 'St', 'constr type 1')	 , confidence: 0.756,lift: 1.000
Rule: ('', '2.0', '1.0') ==> ('St', 'constr type 1')	 , confidence: 0.756,lift: 1.000
Rule: ('5.0', 'issued') ==> ('8', 'wood frame (5)')	 , confidence: 0.761,lift: 1.478
Rule: ('5.0', 'issued') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.761,lift: 1.478
Rule: ('5.0', 'issued') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.761,lift: 1.478
Rule: ('5.0', '', 'issued') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.761,lift: 1.478
Rule: ('5.0', 'issued') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.761,lift: 1.000
Rule: ('5.0', 'issued') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.761,lift: 1.478
Rule: ('', '5.0', 'issued') ==> ('8', 'wood frame (5)')	 , confidence: 0.761,lift: 1.478
Rule: ('5.0', 'issued') ==> ('', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.761,lift: 1.000
Rule: ('5.0', '', 'issued') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.761,lift: 1.000
Rule: ('1.0', 'St') ==> ('otc alterations permit', '2.0')	 , confidence: 0.765,lift: 1.612
Rule: ('1.0', 'St') ==> ('8', '2.0')	 , confidence: 0.765,lift: 1.612
Rule: ('1.0', 'St') ==> ('', 'otc alterations permit', '2.0')	 , confidence: 0.765,lift: 1.612
Rule: ('', '1.0', 'St') ==> ('otc alterations permit', '2.0')	 , confidence: 0.765,lift: 1.612
Rule: ('1.0', 'St') ==> ('', '8', '2.0')	 , confidence: 0.765,lift: 1.612
Rule: ('', '1.0', 'St') ==> ('8', '2.0')	 , confidence: 0.765,lift: 1.612
Rule: ('1.0', 'St') ==> ('otc alterations permit', '2.0', '8')	 , confidence: 0.765,lift: 1.000
Rule: ('1.0', 'St') ==> ('', 'otc alterations permit', '2.0', '8')	 , confidence: 0.765,lift: 1.000
Rule: ('', '1.0', 'St') ==> ('otc alterations permit', '2.0', '8')	 , confidence: 0.765,lift: 1.000
Rule: ('issued', '2.0', '8') ==> ('St',)	 , confidence: 0.767,lift: 1.103
Rule: ('issued', '2.0', 'otc alterations permit') ==> ('St',)	 , confidence: 0.767,lift: 1.103
Rule: ('issued', '2.0', 'otc alterations permit') ==> ('', 'St')	 , confidence: 0.767,lift: 1.103
Rule: ('', 'issued', '2.0', 'otc alterations permit') ==> ('St',)	 , confidence: 0.767,lift: 1.103
Rule: ('issued', '2.0', '8') ==> ('', 'St')	 , confidence: 0.767,lift: 1.103
Rule: ('', 'issued', '2.0', '8') ==> ('St',)	 , confidence: 0.767,lift: 1.103
Rule: ('issued', '2.0', 'otc alterations permit') ==> ('8', 'St')	 , confidence: 0.767,lift: 1.227
Rule: ('issued', '2.0', '8') ==> ('otc alterations permit', 'St')	 , confidence: 0.767,lift: 1.227
Rule: ('issued', '2.0', '8', 'otc alterations permit') ==> ('St',)	 , confidence: 0.767,lift: 1.103
Rule: ('issued', '2.0', 'otc alterations permit') ==> ('', '8', 'St')	 , confidence: 0.767,lift: 1.227
Rule: ('issued', '2.0', '8') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.767,lift: 1.227
Rule: ('', 'issued', '2.0', 'otc alterations permit') ==> ('8', 'St')	 , confidence: 0.767,lift: 1.227
Rule: ('', 'issued', '2.0', '8') ==> ('otc alterations permit', 'St')	 , confidence: 0.767,lift: 1.227
Rule: ('issued', '2.0', '8', 'otc alterations permit') ==> ('', 'St')	 , confidence: 0.767,lift: 1.103
Rule: ('', 'issued', '2.0', '8', 'otc alterations permit') ==> ('St',)	 , confidence: 0.767,lift: 1.103
Rule: ('3.0',) ==> ('otc alterations permit', 'St')	 , confidence: 0.768,lift: 1.228
Rule: ('3.0',) ==> ('8', 'St')	 , confidence: 0.768,lift: 1.228
Rule: ('3.0',) ==> ('otc alterations permit', 'St', '8')	 , confidence: 0.768,lift: 1.000
Rule: ('3.0',) ==> ('', '8', 'St')	 , confidence: 0.768,lift: 1.228
Rule: ('', '3.0') ==> ('8', 'St')	 , confidence: 0.768,lift: 1.228
Rule: ('3.0',) ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.768,lift: 1.228
Rule: ('', '3.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.768,lift: 1.228
Rule: ('3.0',) ==> ('', 'otc alterations permit', '8', 'St')	 , confidence: 0.768,lift: 1.228
Rule: ('', '3.0') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.768,lift: 1.228
Rule: ('8', 'Av') ==> ('5.0',)	 , confidence: 0.773,lift: 1.255
Rule: ('otc alterations permit', 'Av') ==> ('5.0',)	 , confidence: 0.773,lift: 1.255
Rule: ('otc alterations permit', 'Av') ==> ('5.0', '8')	 , confidence: 0.773,lift: 1.414
Rule: ('8', 'Av') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.773,lift: 1.414
Rule: ('otc alterations permit', 'Av', '8') ==> ('5.0',)	 , confidence: 0.773,lift: 1.255
Rule: ('otc alterations permit', 'Av') ==> ('', '5.0')	 , confidence: 0.773,lift: 1.255
Rule: ('8', 'Av') ==> ('', '5.0')	 , confidence: 0.773,lift: 1.255
Rule: ('otc alterations permit', 'Av') ==> ('5.0', '', '8')	 , confidence: 0.773,lift: 1.000
Rule: ('8', 'Av') ==> ('5.0', '', 'otc alterations permit')	 , confidence: 0.773,lift: 1.000
Rule: ('otc alterations permit', '8', 'Av') ==> ('5.0', '')	 , confidence: 0.773,lift: 1.000
Rule: ('', 'otc alterations permit', 'Av') ==> ('5.0',)	 , confidence: 0.773,lift: 1.255
Rule: ('', '8', 'Av') ==> ('5.0',)	 , confidence: 0.773,lift: 1.255
Rule: ('', 'otc alterations permit', 'Av') ==> ('5.0', '8')	 , confidence: 0.773,lift: 1.414
Rule: ('', '8', 'Av') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.773,lift: 1.414
Rule: ('', 'otc alterations permit', '8', 'Av') ==> ('5.0',)	 , confidence: 0.773,lift: 1.255
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('St', 'constr type 1')	 , confidence: 0.773,lift: 1.000
Rule: ('8', '2.0', '1.0') ==> ('St', 'constr type 1')	 , confidence: 0.773,lift: 1.000
Rule: ('8', '2.0', '1.0') ==> ('', 'constr type 1', 'St')	 , confidence: 0.773,lift: 5.919
Rule: ('', '8', '2.0', '1.0') ==> ('constr type 1', 'St')	 , confidence: 0.773,lift: 5.919
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('', 'constr type 1', 'St')	 , confidence: 0.773,lift: 5.919
Rule: ('', 'otc alterations permit', '2.0', '1.0') ==> ('constr type 1', 'St')	 , confidence: 0.773,lift: 5.919
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('8', 'St', 'constr type 1')	 , confidence: 0.773,lift: 1.000
Rule: ('8', '2.0', '1.0') ==> ('otc alterations permit', 'St', 'constr type 1')	 , confidence: 0.773,lift: 6.620
Rule: ('otc alterations permit', '2.0', '1.0', '8') ==> ('St', 'constr type 1')	 , confidence: 0.773,lift: 1.000
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('', '8', 'St', 'constr type 1')	 , confidence: 0.773,lift: 6.620
Rule: ('8', '2.0', '1.0') ==> ('', 'otc alterations permit', 'St', 'constr type 1')	 , confidence: 0.773,lift: 1.000
Rule: ('', 'otc alterations permit', '2.0', '1.0') ==> ('8', 'St', 'constr type 1')	 , confidence: 0.773,lift: 1.000
Rule: ('', '8', '2.0', '1.0') ==> ('otc alterations permit', 'St', 'constr type 1')	 , confidence: 0.773,lift: 6.620
Rule: ('otc alterations permit', '2.0', '1.0', '8') ==> ('', 'St', 'constr type 1')	 , confidence: 0.773,lift: 1.000
Rule: ('', 'otc alterations permit', '2.0', '1.0', '8') ==> ('St', 'constr type 1')	 , confidence: 0.773,lift: 1.000
Rule: ('Av',) ==> ('5.0',)	 , confidence: 0.779,lift: 1.265
Rule: ('Av',) ==> ('5.0', '')	 , confidence: 0.779,lift: 1.000
Rule: ('', 'Av') ==> ('5.0',)	 , confidence: 0.779,lift: 1.265
Rule: ('5.0', '2.0') ==> ('8', 'wood frame (5)')	 , confidence: 0.784,lift: 1.525
Rule: ('5.0', '2.0') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.784,lift: 1.525
Rule: ('5.0', '2.0') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.784,lift: 1.000
Rule: ('5.0', '2.0') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.784,lift: 1.525
Rule: ('', '5.0', '2.0') ==> ('8', 'wood frame (5)')	 , confidence: 0.784,lift: 1.525
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.784,lift: 1.525
Rule: ('5.0', '', '2.0') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.784,lift: 1.525
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.784,lift: 1.000
Rule: ('5.0', '', '2.0') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.784,lift: 1.000
Rule: ('5.0', '2.0', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.786,lift: 1.528
Rule: ('5.0', '2.0', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.786,lift: 1.528
Rule: ('5.0', '2.0', 'St') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.786,lift: 1.528
Rule: ('', '5.0', '2.0', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.786,lift: 1.528
Rule: ('5.0', '2.0', 'St') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.786,lift: 1.000
Rule: ('5.0', '2.0', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.786,lift: 1.528
Rule: ('', '5.0', '2.0', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.786,lift: 1.528
Rule: ('5.0', '2.0', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.786,lift: 1.000
Rule: ('', '5.0', '2.0', 'St') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.786,lift: 1.000
Rule: ('2.0', 'constr type 1') ==> ('otc alterations permit', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('otc alterations permit', '1.0', 'St')	 , confidence: 0.793,lift: 6.053
Rule: ('2.0', '1.0', 'constr type 1') ==> ('otc alterations permit', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('', '8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('', '2.0', 'constr type 1') ==> ('8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('8', '1.0', 'St')	 , confidence: 0.793,lift: 6.053
Rule: ('2.0', '1.0', 'constr type 1') ==> ('8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('', '2.0', 'constr type 1') ==> ('otc alterations permit', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('', '8', '1.0', 'St')	 , confidence: 0.793,lift: 1.000
Rule: ('', '2.0', 'constr type 1') ==> ('8', '1.0', 'St')	 , confidence: 0.793,lift: 6.053
Rule: ('2.0', '1.0', 'constr type 1') ==> ('', '8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('', '2.0', '1.0', 'constr type 1') ==> ('8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('', 'otc alterations permit', '8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('', '2.0', 'constr type 1') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('', 'otc alterations permit', '1.0', 'St')	 , confidence: 0.793,lift: 1.000
Rule: ('', '2.0', 'constr type 1') ==> ('otc alterations permit', '1.0', 'St')	 , confidence: 0.793,lift: 6.053
Rule: ('2.0', '1.0', 'constr type 1') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('', '2.0', '1.0', 'constr type 1') ==> ('otc alterations permit', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('otc alterations permit', '1.0', '8', 'St')	 , confidence: 0.793,lift: 1.000
Rule: ('2.0', '1.0', 'constr type 1') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', 'constr type 1') ==> ('', 'otc alterations permit', '1.0', '8', 'St')	 , confidence: 0.793,lift: 1.000
Rule: ('', '2.0', 'constr type 1') ==> ('otc alterations permit', '1.0', '8', 'St')	 , confidence: 0.793,lift: 1.000
Rule: ('2.0', '1.0', 'constr type 1') ==> ('', 'otc alterations permit', '8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('', '2.0', '1.0', 'constr type 1') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.793,lift: 1.268
Rule: ('2.0', '1.0') ==> ('St',)	 , confidence: 0.794,lift: 1.142
Rule: ('2.0', '1.0') ==> ('', 'St')	 , confidence: 0.794,lift: 1.142
Rule: ('', '2.0', '1.0') ==> ('St',)	 , confidence: 0.794,lift: 1.142
Rule: ('constr type 1',) ==> ('8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('constr type 1',) ==> ('otc alterations permit', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('constr type 1',) ==> ('otc alterations permit', '1.0', 'St')	 , confidence: 0.798,lift: 6.094
Rule: ('1.0', 'constr type 1') ==> ('otc alterations permit', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('constr type 1',) ==> ('otc alterations permit', 'St', '8')	 , confidence: 0.798,lift: 1.000
Rule: ('constr type 1',) ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('', 'constr type 1') ==> ('otc alterations permit', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('constr type 1',) ==> ('', '8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('', 'constr type 1') ==> ('8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('constr type 1',) ==> ('8', '1.0', 'St')	 , confidence: 0.798,lift: 6.094
Rule: ('1.0', 'constr type 1') ==> ('8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('constr type 1',) ==> ('otc alterations permit', 'St', '1.0', '8')	 , confidence: 0.798,lift: 1.000
Rule: ('1.0', 'constr type 1') ==> ('otc alterations permit', 'St', '8')	 , confidence: 0.798,lift: 1.000
Rule: ('constr type 1',) ==> ('', 'otc alterations permit', '8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('', 'constr type 1') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('constr type 1',) ==> ('', '8', '1.0', 'St')	 , confidence: 0.798,lift: 1.000
Rule: ('', 'constr type 1') ==> ('8', '1.0', 'St')	 , confidence: 0.798,lift: 6.094
Rule: ('1.0', 'constr type 1') ==> ('', '8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('', '1.0', 'constr type 1') ==> ('8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('constr type 1',) ==> ('', 'otc alterations permit', '1.0', 'St')	 , confidence: 0.798,lift: 1.000
Rule: ('', 'constr type 1') ==> ('otc alterations permit', '1.0', 'St')	 , confidence: 0.798,lift: 6.094
Rule: ('1.0', 'constr type 1') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('', '1.0', 'constr type 1') ==> ('otc alterations permit', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('constr type 1',) ==> ('', 'otc alterations permit', '1.0', '8', 'St')	 , confidence: 0.798,lift: 1.000
Rule: ('', 'constr type 1') ==> ('otc alterations permit', '1.0', '8', 'St')	 , confidence: 0.798,lift: 1.000
Rule: ('1.0', 'constr type 1') ==> ('', 'otc alterations permit', '8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('', '1.0', 'constr type 1') ==> ('otc alterations permit', '8', 'St')	 , confidence: 0.798,lift: 1.276
Rule: ('1.0', 'St') ==> ('otc alterations permit', 'constr type 1')	 , confidence: 0.799,lift: 6.157
Rule: ('1.0', 'St') ==> ('8', 'constr type 1')	 , confidence: 0.799,lift: 6.157
Rule: ('1.0', 'St') ==> ('otc alterations permit', '8', 'constr type 1')	 , confidence: 0.799,lift: 1.000
Rule: ('1.0', 'St') ==> ('', '8', 'constr type 1')	 , confidence: 0.799,lift: 6.157
Rule: ('', '1.0', 'St') ==> ('8', 'constr type 1')	 , confidence: 0.799,lift: 6.157
Rule: ('1.0', 'St') ==> ('', 'otc alterations permit', 'constr type 1')	 , confidence: 0.799,lift: 6.157
Rule: ('', '1.0', 'St') ==> ('otc alterations permit', 'constr type 1')	 , confidence: 0.799,lift: 6.157
Rule: ('1.0', 'St') ==> ('', 'otc alterations permit', 'constr type 1', '8')	 , confidence: 0.799,lift: 1.000
Rule: ('', '1.0', 'St') ==> ('otc alterations permit', 'constr type 1', '8')	 , confidence: 0.799,lift: 1.000
Rule: ('5.0', '2.0') ==> ('otc alterations permit',)	 , confidence: 0.803,lift: 0.894
Rule: ('5.0', '2.0') ==> ('8',)	 , confidence: 0.803,lift: 0.894
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit')	 , confidence: 0.803,lift: 0.894
Rule: ('', '5.0', '2.0') ==> ('otc alterations permit',)	 , confidence: 0.803,lift: 0.894
Rule: ('5.0', '2.0') ==> ('', '8')	 , confidence: 0.803,lift: 0.894
Rule: ('', '5.0', '2.0') ==> ('8',)	 , confidence: 0.803,lift: 0.894
Rule: ('5.0', '2.0') ==> ('otc alterations permit', '8')	 , confidence: 0.803,lift: 1.000
Rule: ('5.0', '2.0') ==> ('', 'otc alterations permit', '8')	 , confidence: 0.803,lift: 1.000
Rule: ('5.0', '', '2.0') ==> ('otc alterations permit', '8')	 , confidence: 0.803,lift: 1.000
Rule: ('2.0', 'wood frame (5)') ==> ('otc alterations permit',)	 , confidence: 0.804,lift: 0.894
Rule: ('2.0', 'wood frame (5)') ==> ('8',)	 , confidence: 0.804,lift: 0.894
Rule: ('2.0', 'wood frame (5)') ==> ('otc alterations permit', '8')	 , confidence: 0.804,lift: 1.000
Rule: ('2.0', 'wood frame (5)') ==> ('', '8')	 , confidence: 0.804,lift: 0.894
Rule: ('', '2.0', 'wood frame (5)') ==> ('8',)	 , confidence: 0.804,lift: 0.894
Rule: ('2.0', 'wood frame (5)') ==> ('', 'otc alterations permit')	 , confidence: 0.804,lift: 0.894
Rule: ('', '2.0', 'wood frame (5)') ==> ('otc alterations permit',)	 , confidence: 0.804,lift: 0.894
Rule: ('2.0', 'wood frame (5)') ==> ('5.0', '8')	 , confidence: 0.804,lift: 1.470
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('8',)	 , confidence: 0.804,lift: 0.894
Rule: ('2.0', 'wood frame (5)') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.804,lift: 1.470
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('otc alterations permit',)	 , confidence: 0.804,lift: 0.894
Rule: ('2.0', 'wood frame (5)') ==> ('5.0', 'otc alterations permit', '8')	 , confidence: 0.804,lift: 1.000
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('otc alterations permit', '8')	 , confidence: 0.804,lift: 1.000
Rule: ('2.0', 'wood frame (5)') ==> ('', '5.0', '8')	 , confidence: 0.804,lift: 1.470
Rule: ('', '2.0', 'wood frame (5)') ==> ('5.0', '8')	 , confidence: 0.804,lift: 1.470
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('', '8')	 , confidence: 0.804,lift: 0.894
Rule: ('', '5.0', '2.0', 'wood frame (5)') ==> ('8',)	 , confidence: 0.804,lift: 0.894
Rule: ('2.0', 'wood frame (5)') ==> ('', 'otc alterations permit', '8')	 , confidence: 0.804,lift: 1.000
Rule: ('', '2.0', 'wood frame (5)') ==> ('otc alterations permit', '8')	 , confidence: 0.804,lift: 1.000
Rule: ('2.0', 'wood frame (5)') ==> ('5.0', '', 'otc alterations permit')	 , confidence: 0.804,lift: 1.000
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('', 'otc alterations permit')	 , confidence: 0.804,lift: 0.894
Rule: ('', '2.0', 'wood frame (5)') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.804,lift: 1.470
Rule: ('5.0', '', '2.0', 'wood frame (5)') ==> ('otc alterations permit',)	 , confidence: 0.804,lift: 0.894
Rule: ('2.0', 'wood frame (5)') ==> ('5.0', '', '8', 'otc alterations permit')	 , confidence: 0.804,lift: 1.000
Rule: ('5.0', '2.0', 'wood frame (5)') ==> ('', 'otc alterations permit', '8')	 , confidence: 0.804,lift: 1.000
Rule: ('', '2.0', 'wood frame (5)') ==> ('5.0', 'otc alterations permit', '8')	 , confidence: 0.804,lift: 1.000
Rule: ('5.0', '', '2.0', 'wood frame (5)') ==> ('otc alterations permit', '8')	 , confidence: 0.804,lift: 1.000
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('St',)	 , confidence: 0.808,lift: 1.161
Rule: ('8', '2.0', '1.0') ==> ('St',)	 , confidence: 0.808,lift: 1.161
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('', 'St')	 , confidence: 0.808,lift: 1.161
Rule: ('', 'otc alterations permit', '2.0', '1.0') ==> ('St',)	 , confidence: 0.808,lift: 1.161
Rule: ('8', '2.0', '1.0') ==> ('', 'St')	 , confidence: 0.808,lift: 1.161
Rule: ('', '8', '2.0', '1.0') ==> ('St',)	 , confidence: 0.808,lift: 1.161
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('8', 'St')	 , confidence: 0.808,lift: 1.291
Rule: ('8', '2.0', '1.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.808,lift: 1.291
Rule: ('otc alterations permit', '2.0', '1.0', '8') ==> ('St',)	 , confidence: 0.808,lift: 1.161
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('', '8', 'St')	 , confidence: 0.808,lift: 1.292
Rule: ('8', '2.0', '1.0') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.808,lift: 1.292
Rule: ('', 'otc alterations permit', '2.0', '1.0') ==> ('8', 'St')	 , confidence: 0.808,lift: 1.291
Rule: ('', '8', '2.0', '1.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.808,lift: 1.291
Rule: ('otc alterations permit', '2.0', '1.0', '8') ==> ('', 'St')	 , confidence: 0.808,lift: 1.161
Rule: ('', 'otc alterations permit', '2.0', '1.0', '8') ==> ('St',)	 , confidence: 0.808,lift: 1.161
Rule: ('5.0', '2.0', 'St') ==> ('8',)	 , confidence: 0.808,lift: 0.899
Rule: ('5.0', '2.0', 'St') ==> ('otc alterations permit',)	 , confidence: 0.808,lift: 0.899
Rule: ('5.0', '2.0', 'St') ==> ('', '8')	 , confidence: 0.808,lift: 0.899
Rule: ('', '5.0', '2.0', 'St') ==> ('8',)	 , confidence: 0.808,lift: 0.899
Rule: ('5.0', '2.0', 'St') ==> ('', 'otc alterations permit')	 , confidence: 0.808,lift: 0.899
Rule: ('', '5.0', '2.0', 'St') ==> ('otc alterations permit',)	 , confidence: 0.808,lift: 0.899
